dataset_doi,n_code_files,total_lines,has_interactions,has_ml_het,has_hierarchical,max_interactions,max_ml_het,max_hierarchical,name,description,published_at
doi:10.7910/DVN/0CZA6Q,87,22132,TRUE,FALSE,TRUE,2,0,2,"Replication Data for: ""Spatial Influences in Upward Mobility""","This is the replication package for ""Spatial Influences in Upward Mobility,"" accepted in 2023 by the Journal of Political Economy.",2023-04-11T17:52:11Z
doi:10.7910/DVN/0DCWT7,57,4358,TRUE,FALSE,TRUE,2,0,1,"Locked Down, Lashing Out: COVID-19 Effects on Asian Hate Crimes in Italy",These replication materials include the data and code to replicate all analyses in the paper and the appendices.,2022-07-24T14:01:31Z
doi:10.7910/DVN/0DLNBL,3,1098,TRUE,FALSE,FALSE,1,0,0,Cities in the Statehouse: How Local Governments Use Lobbyists to Secure State Funding,Data and replication code for main paper and on-line appendix.,2018-11-28T18:54:42Z
doi:10.7910/DVN/0E9KON,4,157,FALSE,FALSE,FALSE,0,0,0,Replication Data for: The Politics of Potholes: Service Quality and Retrospective Voting in Local Elections,Full replication data and code for: The Politics of Potholes: Service Quality and Retrospective Voting in Local Elections,2016-07-21T19:20:42Z
doi:10.7910/DVN/0EIQXL,5,1200,TRUE,FALSE,TRUE,1,0,1,Replication Data for: A Choice-Based Measure of Issue Importance in the Electorate,"Measuring how much citizens care about different policy issues is critical for political scientists, yet existing measurement approaches have significant limitations. We provide a new survey-experimental, choice-based approach for measuring the importance voters attach to different positional issues, including issues not currently contested by political elites. We combine information from (i) direct questions eliciting respondents' positions on different issues with (ii) a conjoint experiment asking respondents to trade-off departures from their preferred positions on those issues. Applying this method to study the relative importance of 34 issues in the UK, we show that British voters attach significant importance to issues like the death penalty which are not presently the subject of political debate and attach more importance to those issues associated with social liberal-conservative rather than economic left-right divisions.",2020-02-03T18:51:07Z
doi:10.7910/DVN/0F5BC7,1,434,FALSE,FALSE,TRUE,0,0,1,Replication data for: The Impact of Politically Motivated Foreign Aid: What is the Evidence?,"This paper contributes to the literature on aid and politico-economic development. Several articles have suggested that foreign aid harms growth and political freedoms in recipient countries, particularly when aid is politically motivated. The impact of foreign aid on the United Nations Security Council temporary members is a prime test case, as it is frequently claimed that such aid is politically motivated due to the geopolitical interests of the permanent members and the necessity of building majority coalitions for important Security Council votes. This paper uses instrumental variables and coarsened exact matching to assess the causal impact of foreign aid on GDP growth and democratization in temporary members from 1946 to 2005. We check for robustness by running our specifications on multiply imputed data and conducting K-fold cross validation of our model. Contrary to the recent literature, we find no support for the alleged pernicious effects of aid on growth and political freedoms. In fact, aid substantively increases both GDP growth and democracy scores in temporary members.",2011-05-09T00:00:00Z
doi:10.7910/DVN/0FXKKX,2,728,FALSE,FALSE,FALSE,0,0,0,"Replication Data for: ""Race, Paternalism, and Foreign Aid: Evidence from U.S. Public Opinion""","Two US nationwide surveys conducted over the internet with embedded experiments and about a dozen post-treatment measures of foreign aid attitudes, paternalism, and resentment. Datasets also contain demographic data. The CM experiment was carried out by Knowledge Networks and funded by TESS (N=2,031, white respondents only). The AG experiment was carried out by the Cooperative Congressional Elections Study (N=1,000). File also contains R code.",2019-01-11T22:37:09Z
doi:10.7910/DVN/0ILLXT,3,1440,TRUE,FALSE,TRUE,3,0,1,Replication Data for: Appellate Court Influence over District Courts in the United States,"The vast majority of U.S. federal litigation occurs in U.S. District Courts, which are the first -- and for most, the last -- courts in which a case is heard. While these lower courts' judges are insulated from outside influence by their life tenure, they may have incentives to heed the preferences of those above them in the judicial hierarchy. Using data on politicized district court decisions and the ideological preferences of circuit court judges in a two-way fixed effects design, we show that district court judges are responsive to changes in the ideological composition of the circuit court above them. We show that lower court responsiveness is increasing in the rate of appellate review and reversal that these courts face. We find no evidence, however, that this responsiveness is motivated by workload reduction or progressive ambition.",2022-02-15T00:32:12Z
doi:10.7910/DVN/0KTV57,1,0,FALSE,FALSE,FALSE,0,0,0,Comparative Study of Ethnic Minorities in California (M163V1),"""Currently political participation, especially voter registration and turnout, varies substantially with ethnicity. Blacks and non-Hispanic whites participate at roughly equal rates, while Latinos and Asian-Americans are substantially less active. This variation may reflect culatural factors, or it may be the spurious product of differences in the distribution of non-ethnic determinants of participation, including socioeconomic and demographic characteristics, variables reflecting immigration history, including citicenzhip, and measures of group idintification. Using data collected in 1984 on samples of California's black, Latino, Asian-American, and non-Hispanic white populations, we conclude that these other variables fully account for lower Latino participation rates. Even with such controls, however, Asian-Americans remain less likely to vote. Athough non-citizens particiape less than citizens, they do engage in non-electoral activities. Finally, we specualte on the future political impact of Latinos and Asian-American, by projecting participation rates under several scenarios.""",2017-05-04T19:20:12Z
doi:10.7910/DVN/0MOPI4,3,702,TRUE,FALSE,TRUE,4,0,2,Replication Data for: People Haven’t Had Enough of Experts: Technocratic Attitudes Among Citizens in Nine European Democracies,"Political representation theory postulates that technocracy and populism mount a twofold challenge to party democracy, while also standing at odds with each other in the vision of representation they advocate. Can these relationships be observed empirically at the level of citizen preferences and what does this mean for alternative forms of representation? The article investigates technocratic attitudes among citizens following three dimensions – Expertise, Elitism, Anti-politics – and, using latent class analysis, identifies citizen groups that follow a technocratic, populist and party-democratic profile in nine European democracies. Results show that technocratic attitudes are pervasive and can be meaningfully distinguished from populist attitudes, though important overlaps remain. We investigate differences in demographics and political attitudes among citizen profiles that are relevant to political behavior and conclude by highlighting the role that citizens’ increasing demands for expertise play in driving preferences for alternative types of governance.",2020-07-07T11:53:35Z
doi:10.7910/DVN/0MXT0H,1,1035,TRUE,FALSE,TRUE,1,0,1,Replication Data for: At-Large Elections and Minority Representation in Local Government,"Despite a long history of legal challenges alleging that elections conducted at-large suppress minority representation, this remains the dominant electoral system in local governments throughout the United States. Moreover, a large empirical literature remains divided over the present-day impact of at-large elections on the political success of underrepresented groups. We reconcile the competing findings in this literature by providing contingent, causal estimates of the effect of conversion from at-large to ward elections on minority officeholding, using a novel identification strategy afforded by the California Voting Rights Act of 2001. We find a dramatic positive effect of conversion in districts where Latinos constitute a sufficiently large share of the voting population, and in large and residentially segregated districts. When these conditions are not satisfied, we consistently see null estimated effects.",2020-01-17T15:21:58Z
doi:10.7910/DVN/0OMNYW,21,7830,FALSE,FALSE,TRUE,0,0,2,"Replication Data for: ""Cheap Thrills: The Price of Leisure and the Global Decline in Work Hours""","This is the replication package for ""Cheap Thrills: The Price of Leisure and the Global Decline in Work Hours,"" accepted in 2022 by the Journal of Political Economy Macroeconomics.",2022-11-29T14:07:03Z
doi:10.7910/DVN/0ONBF6,2,299,TRUE,FALSE,FALSE,4,0,0,Replication Data for: Retribution or Reconciliation? Post-Conflict Attitudes Toward Enemy Collaborators,"Armed groups seeking to govern territory require the cooperation of many civilians, who are widely perceived as enemy collaborators after conflict ends. The empirical literature on attitudes toward transitional justice focuses heavily on fighters, overlooking more nuanced understandings of proportional justice for civilian collaborators. Through a survey experiment conducted in an Iraqi city which was controlled by the Islamic State, we find that variations in the type of collaboration an actor engages in strongly determines preferences for punishment and forgiveness. While exposure to violence is associated with a greater desire for revenge, perceived volition behind an act—a relatively unstudied factor—is much more important. This research provides unique empirical data on the microfoundations of enemy collaborator culpability. By widening our analytical lens to consider a more realistically broad spectrum of enemy collaboration, we avoid affirming a false dichotomy between victims and perpetrators that is commonly adopted in post-war settings.",2021-09-13T15:56:24Z
doi:10.7910/DVN/0PTKDP,7,1002,TRUE,FALSE,TRUE,1,0,5,"Replication Data for: Jonathan Kastellec. 2011. ""Hierarchical and Collegial Politics on the U.S. Courts of Appeals."" Journal of Politics.  73(2):345-61.","This dataverse provides data and code necessary to replicate the results in Jonathan Kastellec. 2011. ""Hierarchical and Collegial Politics on the U.S. Courts of Appeals."" Journal of Politics. 73(2):345-61.",2016-01-11T20:04:58Z
doi:10.7910/DVN/0PY9EA,3,1632,FALSE,FALSE,FALSE,0,0,0,Replication Data for: Modeling Spatial Heterogeneity and Historical Persistence:  Nazi Concentration Camps and Contemporary Intolerance,"A wealth of recent research in comparative politics examines how spatial variation in historical conditions shapes modern political outcomes. In an article in the American Political Science Review, Homola, Pereira, and Tavits argue that Germans who live nearer to former Nazi concentration camps are more likely to display out-group intolerance. Clarifying the conceptual foundations of post-treatment bias and reviewing the historical record on post-war state creation in Germany, we argue that state-level differences confound the relationship between distance to camps and out-group intolerance. Using publicly available European Values Survey data and electoral results from 2017, we find no consistent evidence that distance to camps is related to contemporary values. Our findings have implications for literatures on historical persistence, causal inference with spatial data, Holocaust studies, and outgroup tolerance.",2023-03-02T14:18:23Z
doi:10.7910/DVN/0QOVCH,3,653,FALSE,FALSE,FALSE,0,0,0,Replication Data for: Do Gender Quotas Hurt Less Privileged Groups? Evidence From India,"How do political gender quotas affect representation? We suggest that when gender attitudes are correlated with ethnicity, promoting female politicians may reduce the descriptive representation of traditionally disadvantaged ethnic groups. To assess this idea, we examine the consequences of the implementation of random electoral quotas for women on the representation of caste groups in Delhi. Constituencies reserved for women are less likely than unreserved constituencies to elect members of groups where the status of women is low. In practice, this means they are less likely to elect members of several traditionally underprivileged groups (especially OBC castes) and more likely to elect candidates from the Hindu upper castes. The results highlight the difficulties of balancing descriptive representation on multiple, cross-cutting dimensions, and the possible unintended consequences of the type of single-dimension quotas currently proposed for inclusion in the Indian constitution.",2020-01-09T15:28:31Z
doi:10.7910/DVN/0TCU7L,1,220,TRUE,FALSE,TRUE,2,0,1,House Members on the News: Local Television News Coverage of Incumbents*,Replication Data for House Members on the News: Local Television News Coverage of Incumbents,2023-12-13T10:50:42Z
doi:10.7910/DVN/0UTWWV,6,4573,TRUE,FALSE,TRUE,2,0,1,Replication Data for: The Psychology of Coercion Failure: How Reactance Explains Resistance to Threats,"When confronted with coercive threats, targets often stand firm rather than back down. We identify one important yet unrecognized factor that causes actors to resist threats: psychological reactance. Reactance theory explains that when someone perceives a threat to their freedom to make choices, they attempt to restore their autonomy by refusing to capitulate. The result is unwillingness to concede to coercion that extends beyond rational incentives. We test for reactance as a cause of coercion failure with two novel experiments. Each experiment pairs a coercive threat treatment with a matched ‘natural costs’ counterpart that imposes the same choice on the target without intentional action by a coercer. Controlling for prominent alternative explanations including costs, benefits, power, credibility, and reputation, we find that the targets of threats capitulate less frequently and more often support aggression against their opponents.",2022-03-17T17:10:56Z
doi:10.7910/DVN/0V8H6K,1,131,TRUE,FALSE,FALSE,3,0,0,Replication Data for Voter Responses to Female Candidates' Voice Pitch:  Experimental Evidence from Japan (Japanese Journal of Political Science),Files to replicate tables and figures in Voter Responses to Female Candidates' Voice Pitch: Experimental Evidence from Japan (published in Japanese Journal of Political Science).,2022-11-22T14:28:43Z
doi:10.7910/DVN/0XEUCP,4,455,FALSE,FALSE,TRUE,0,0,1,Assessing Contextual Measurement Strategies,"Replication files for ""Assessing Contextual Measurement Strategies""",2017-01-05T15:39:02Z
doi:10.7910/DVN/0XS5NX,1,927,TRUE,TRUE,TRUE,1,1,1,Replication Data for: The Social Consequences of Political Anger,"This dataverse contains the R script and datasets necessary to reproduce the results in ""The Social Consequences of Political Anger.""",2021-12-09T19:22:48Z
doi:10.7910/DVN/0Y1E2B,1,574,TRUE,FALSE,TRUE,2,0,1,Replication Data for: Evaluations of Violence at the Polls: Civilian Victimization and Support for Perpetrators After War,"Dataset, codebook, and replication file (in R)",2020-12-21T21:37:49Z
doi:10.7910/DVN/0Y8IKW,3,1123,TRUE,FALSE,TRUE,3,0,3,Replication Data for: Facing Change: Gender and Climate Change Attitudes Worldwide,"All files needed to reproduce tables and figures for ""Facing Change: Gender and Climate Change Attitudes Worldwide.""",2022-08-08T12:45:59Z
doi:10.7910/DVN/0YHJRG,17,2883,TRUE,FALSE,TRUE,4,0,1,Replication Data for: No Evidence that Measuring Moderators Alters Treatment Effects,"As survey experiments have become more common in political science, so too have efforts to identify who is most responsive to a treatment. By necessity, moderation experiments frequently rely on observed, rather than manipulated moderators, such as partisan identity or racial attitudes. These designs have led to an ongoing debate about where to measure moderators – immediately prior to the treatment, after the treatment, or in a prior wave of a panel survey. Each design choice has its downsides and detractors. Measuring a moderator after the treatment opens the possibility of posttreatment bias. Measuring it prior to the experiment may create priming effects. And panel studies are costly and sometimes infeasible. We contribute to this debate by systematically studying whether measuring moderators prior to an experiment affects the results. Across six different experiments, each involving one of the most commonly used moderators, we find no evidence of priming effects. Additionally, we find no evidence that the distance between a moderator and an experiment within a survey affects the results. Our findings thus help resolve the debate, suggesting that the pretreatment measurement of a moderator often poses little threat to the inferences drawn from an experiment. We conclude with advice on designing well-powered moderation experiments.",2023-06-16T13:06:31Z
doi:10.7910/DVN/0YUSTJ,4,1954,TRUE,FALSE,TRUE,3,0,1,Replication Data for: Concentrated Burdens: How Self-Interest and Partisanship Shape Opinion on Opioid Treatment Policy by De Benedictis-Kessner et al (2017),"This data and code replicate and extend the analysis conducted in ""Concentrated Burdens: How Self-Interest and Partisanship Shape Opinion on Opioid Treatment Policy"" by De Benedictis-Kessner et al (2017). The original Stata datasets included here were graciously provided by De Benedictis-Kessner. (2019-05-11)",2020-12-15T13:46:30Z
doi:10.7910/DVN/0ZRGEE,1,0,FALSE,FALSE,FALSE,0,0,0,"Replication Data for: A pairwise comparison framework for fast, flexible, and reliable human coding of political texts","All of the data required for replicating the analyses are located in /DataFiles, with appropriately named subfolders. MainTextRep.R replicates all figures, tables, and numbers reported in the main text with the data provided. SIRep.R does the same for the Supplementary Information. The data folders also contain code that generate both the MTurk responses and the Stan fits. However, some of the functionality is deprecated, and the new package sentimentIt operates differently than earlier functionality, for example requiring login credentials. The code HITapi.R was used for some of the data collection, but is based on this earlier functionality. For an example using the newest functionality, refer to the SI or to the file packageImm_anon.R in /DataFiles/ImmigrationSurvey, which is a fully functional use of the package with the exception of the password being anonymous.",2017-10-09T10:25:51Z
